method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,S0,20260821,0.7683160053803882,0.8974,1.5366320107607765,2.103285806879988,0.996,0.959,0.915,0.837,0.78
m0_gaussian,S0,20260822,0.7547942238549054,0.8874,1.509588447709811,2.13286045281431,0.998,0.963,0.921,0.828,0.727
split_cp,S0,20260822,0.789978635477917,0.9,1.5799572709558343,2.128079114225734,0.999,0.971,0.931,0.848,0.751
m0_gaussian,S0,20260823,0.7227415831908686,0.8728,1.4454831663817376,2.125952509443448,0.998,0.96,0.89,0.806,0.71
split_cp,S0,20260823,0.7332584910650136,0.8768,1.4665169821300275,2.1206412447445704,0.998,0.961,0.897,0.813,0.715
m0_gaussian,S0,20260824,0.7428221199062734,0.888,1.485644239812547,2.1142011304280666,0.996,0.963,0.911,0.832,0.738
split_cp,S0,20260824,0.7334352136407685,0.8834,1.4668704272815365,2.1168535929235266,0.996,0.962,0.905,0.824,0.73
m0_gaussian,S0,20260825,0.6649706214907624,0.846,1.3299412429815245,2.1926256029112547,0.991,0.945,0.87,0.744,0.68
split_cp,S0,20260825,0.6555673676962321,0.8424,1.3111347353924645,2.20310895749198,0.99,0.94,0.869,0.739,0.674
m0_gaussian,S0,20260826,0.8035771845660763,0.9054,1.6071543691321524,2.0787795566405713,1.0,0.983,0.918,0.858,0.768
split_cp,S0,20260826,0.770894499366541,0.894,1.541788998733082,2.0788232761159304,0.999,0.977,0.909,0.829,0.756
m0_gaussian,S0,20260827,0.7579878143315033,0.893,1.5159756286630068,2.13300843685503,1.0,0.959,0.905,0.835,0.766
split_cp,S0,20260827,0.7507335448357334,0.8888,1.5014670896714666,2.1344093885547437,1.0,0.954,0.902,0.829,0.759
m0_gaussian,S0,20260828,0.7959241087588215,0.9014,1.5918482175176432,2.127401990157477,0.997,0.974,0.911,0.834,0.791
split_cp,S0,20260828,0.8307965738653169,0.9126,1.661593147730634,2.1321703853296317,0.999,0.981,0.926,0.85,0.807
m0_gaussian,S0,20260829,0.6986579328154566,0.8612,1.3973158656309133,2.191102513274792,0.993,0.944,0.87,0.798,0.701
split_cp,S0,20260829,0.7107157378169655,0.8674,1.4214314756339306,2.182504687405513,0.995,0.945,0.878,0.807,0.712
m0_gaussian,S0,20260830,0.7805489402840518,0.8936,1.5610978805681037,2.1347075520350387,0.994,0.971,0.929,0.825,0.749
split_cp,S0,20260830,0.8312927932651683,0.9126,1.662585586530337,2.1384384539539396,0.999,0.98,0.948,0.853,0.783
